id_jeu,titre_jeu,References,auteurs,date_parution_debut,date_parution_fin,information_date,version,nombre_joueurs,age_min,mots_cles,num_boite,localisation_cnj,mecanisme1,mecanisme2,mecanisme3,collection_origine,etat,code_barre
806.0,Rencontre Cosmique (1986),DESCARTES (jeux)(Editeur) / EON PRODUCTIONS LIMITED(Licence) / West End Games Inc(Licence) / ,NORTON Bill(Auteur) / OLOTKA Peter(Auteur) / KITTREDGE Jack(Auteur) / EBERLE Bill(Auteur) /,1986.0,,Boite,France,2-6,12,"Science Fiction, Fantastique",11.0,Sf 3,Placement de tuiles,Combinaison / collection,,,,
10435.0,Prosperity,YSTARI Games(Editeur - Distributeur) / ,KNIZIA Reiner(Auteur) / NERIAC(Illustration - graphisme) / BLEASDALE Sébastien(Auteur) /,2013.0,,Boite,France,2-4,13,"Science Fiction, Anticipation",11.0,Sf 5,Alliance,Gestion de main,Négoce / marchandage,,,
10433.0,Invaders,WHITE GOBELIN GAMES(Editeur - Distributeur) / ,MARK CHAPLIN(Auteur) / CHECHU NIETO(Illustration - graphisme) / XAVIER CARRASCOSA (Illustration - graphisme) /,2013.0,,,France,2,12,"Science Fiction, Fantastique",11.0,Sf 5,Gestion de main,,,,,
10299.0,Quantum,FUNFORGE(Editeur - Distributeur) / ,YANNER Kieran(Auteur) / Eric ZIMMERMAN(Auteur) / Georges BOUCHELAGHEM(Auteur) /,2013.0,,Boite,Allemagne,2-4,13,"Science Fiction, Anticipation, Exploration Spatiale",11.0,Sf 7,Majorité / influence,Déplacement / exploration,Lancers de dés,,,
10011.0,Race For Galaxie Ext 2 Rebelles Contre Imperium,YSTARI Games(Editeur - Distributeur) / ,Tom LEHMANN (Auteur),2009.0,,,France,1-6,12,"Science-Fiction, Conquête Spatiale",11.0,Divers 13,Gestion de main,Gestion de ressources,Combinaison / collection,,,
10012.0,Race For Galaxie Ext 3 Au Bord De L'Abîme,YSTARI Games(Editeur - Distributeur) / ,Tom LEHMANN (Auteur),2010.0,,,Allemagne,1-6,12,"Science-Fiction, Conquête Spatiale",11.0,Divers 13,Gestion de main,Gestion de ressources,Combinaison / collection,,,
,Hoopla (The Old English Game Of),House of marbles,,,,,Pays-Bas,,5,,11.0,,,,,,,
,Cliko,FoxMind ,Michel & Robert Lyons,2005.0,,,France,1,8,,11.0,,,,,,,
,Soccer Game - Year Round Soccer Fun,R&R Associates,,1988.0,,,Republique Tcheque,2-4,4,,11.0,,,,,,,
,Winter Olympics,ABC Sports,"Garry Hare, Kelly Jones, Tom Volotta",1987.0,,,Angleterre,2-6,8,,11.0,,,,,,,
6687.0,Terre Et Volcans,JEUX NATHAN / ,,1976.0,,Boite,France,1 ou plus,10,"Connaissances, Qr, Nature, Volcans, Haroun Tazieff",11.0,Nature 2,,,,,,
8851.0,Identik,ASMODEE(Editeur - Distributeur) / Braincog(Licence) / ,KOHOUT Amanda A(Auteur) / JACOBSON William P(Auteur) /,2009.0,,As D'Or 2010 - Cannes - France,Pays Bas,3 ou plus,8,Ambiance Dessin,12.0,Ambiance 3,Expression orale,Dessin,Contre la montre,,,
5371.0,Kazoomodo,ZOOM / ,,1997.0,,,Italie,3-6,14,"Ambiance, Gages, Pâte À Modeler",12.0,Ambiance 2,Expression orale,Observation / écoute,,,,
4058.0,C'Est Du Delire,RAVENSBURGER / ,BRODDACK Christian() / KAES Bertram() /,1992.0,,Boite,Pays Bas,3-6,12,"Ambiance, Gages",12.0,Ambiance 3,Expression orale,Connaissances,,,,
5075.0,Hippofolies,RAVENSBURGER / ,"H. Wöhning, B. Kaes (Auteurs) / 
Wilfried Gebbard (Illustrateur",1990.0,,Boite,Allemande,3-6,12,Ambiance,12.0,Ambiance 3,Parcours,Gage,Expression gestuelle,,,
7433.0,Egghead,ASS / ,Robert ABBOTT (Auteur) /,1974.0,,,Usa,3-6,12,Ambiance Déduction Lettres,12.0,Ambiance 2,Déduction,Expression orale,,,,
4106.0,Chaudron Diabolique,MB Jeux / MB France / Hasbro International Inc / ,,1992.0,,Boite,Canada,2-4,6,"Fantastique, Monstres, Potion Magique, Sorciers / Sorcieres",13.0,Fantastique 1,Parcours,Collecte,Adresse,,,
5069.0,Hexentanz,FX SCHMID / ,HOLLE Bjorn() /,1997.0,,"Boite, 1987 Bjorn Holle Et 1988 - 1997 Fx Schnid",Canada,3-6,8,"Fantastique, Sorciers / Sorcieres",13.0,Fantastique 2,Lancers de dés,Mémoire,,,,
4980.0,Goblin'S Gold,JUMBO International / ,Gilbert LEVY (Auteur),1994.0,,Boite,Canada,2-4,7,"Fantastique, Magie / Magicien",13.0,Fantastique 1,Mémoire,,,,,
5550.0,Maison Diabolique (La),HABOURDIN International / Granta Design / ,,1991.0,,Boite,France,,6,"Fantastique, Fantomes, Maison, Monstres",13.0,Fantastique 2,Lancers de dés,Déplacement / exploration,,,,
1377.0,Jantaris,ALTAR(Editeur) / ,"Zbyněk Vrána (Auteur) / Jan Kantor, Tomáš Kučerovský, Tomáš Zahradníček (Illustrateurs)",2007.0,,,France,3-4,10,"Historique, Renaissance",14.0,Divers 16,Majorité / influence,Mise / enchère,,,,
1375.0,Il Principe,MIND THE MOVE(Editeur - Distributeur) / ,ORNELLA Emanuele(Auteur) /,2005.0,,Règle,France,2-5,10,"Historique, Renaissance",14.0,Divers 16,Majorité / influence,Mise / enchère,Combinaison / collection,,,
7009.0,Vox Populi,TILSIT éditions / ,PACHERIE Francis() / BERNARD Pascal() / KRASSINSKY Jean - Paul() /,1998.0,,Boite,France,3-6,12,Antiquite Politique Jeux Du Cirque,14.0,Antiquite,Placement de tuiles,,,,,
9900.0,Alba Longa,Quined Games(Editeur - Distributeur) / ,Graeme JAHNS(Auteur) / Hans JANSSEN(Illustration - graphisme) /,2011.0,,Boite,France,2-5,12,"Historique, Antiquité",14.0,Antiquite 2,Narration / Scénario,Lancers de dés,Placement d'ouvriers,,,
1543.0,Romains (Les),THE GREEN BOARD GAME CO Ltd(Editeur - Distributeur) / ,,2005.0,,,France,2-4,8,"Historique, Antiquité",14.0,Antiquite 2,,,,,,
10640.0,Caligula,HEIDELBERGER SPIELEVERLAG(Editeur - Distributeur) / ELFINWERKS(Editeur - Distributeur) / POST SCIPTUM(Editeur - Distributeur) / ,PIERLUCA ZIZZI(Auteur) / PAOLO MERITI(Illustration - graphisme) /,2009.0,,,Canada,2-5,14,"Historique, Antiquité",14.0,Antiquite,Mise / enchère,Combinaison / collection,,,,
10526.0,Trajan,,Stefan Feld (Auteur) / Jo Hartwig (Illustrateur),,,,Allemagne,2-4,12,"Historique, Antiquité",14.0,Antiquite 2,Déplacement / exploration,Gestion de main,,,,
10715.0,Ur 1830 Bc,SPLOTTER SPELLEN(Editeur - Distributeur) / ,Joris WIERSINGA(Auteur) / Jeroen DOUMEN(Auteur) /,2001.0,,,Allemagne,3-6,14,"Historique, Antiquité",14.0,Antiquite 2,Mise / enchère,Placement de tuiles,,,,
10333.0,Hektor Und Achill,PHALANX Games(Editeur - Distributeur) / ,"Leo Colovini, Marco Maggi, Francesco Nepitello (Auteurs) / Franz Vohwinkel (Illustrateur)",2003.0,,,France,2,10,"Historique, Mythologie",14.0,Divers 14,Gestion de main,Combinaison / collection,,,,
9915.0,Catan Card Game,MAYFAIR GAMES(Editeur - Distributeur) / ,TEUBER Klaus(Auteur) /,1996.0,,,Italie,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,Gamme,Gestion de main,Lancers de dés,Combinaison / collection,,,
1366.0,Colons De Catane - Conquête De Rome,KOSMOS(Licence) / FILOSOFIA Editions(Editeur - Distributeur) / ,TEUBER Klaus(Auteur) / FINE TUNING(Réalisation Graphique) / DONNER Tanja(Illustration - graphisme) /,2006.0,,Boite,France,3-4,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Déplacement / exploration,Négotiation,,,,
9613.0,Colons De Catane (Les) Jdc Commerce & Evolution,KOSMOS / FILOSOFIA Editions / ,TEUBER Klaus() / DONNER Tanja() / VOHWINKEL Franz() /,2007.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
9611.0,Colons De Catane (Les) Jdc Barbares & Négociants,KOSMOS(Licence) / FILOSOFIA Editions(Editeur - Distributeur) / ,TEUBER Klaus(Auteur) / DONNER Tanja(Illustration - graphisme) / VOHWINKEL Franz(Illustration - graphisme) /,2007.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4234.0,Colons De Catane Ext Jdc Chevaliers & Marchands,TILSIT éditions / KOSMOS / ,TEUBER Klaus() /,2002.0,,Boite,Usa,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4235.0,Colons De Catane Ext Jdc Commerce & Evolution,TILSIT éditions / KOSMOS / ,TEUBER Klaus() /,2002.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4236.0,Colons De Catane Ext Jdc Magiciens & Dragons,TILSIT éditions / KOSMOS / ,TEUBER Klaus() /,2002.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4237.0,Colons De Catane Ext Jdc Politique & Intrigues,TILSIT éditions / KOSMOS / ,TEUBER Klaus() /,2002.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4238.0,Colons De Catane Ext Jdc Science & Progrès,TILSIT éditions / KOSMOS / ,TEUBER Klaus() /,2002.0,,Boite,France,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
4239.0,Colons De Catane Jeu De Cartes Pour 2,TILSIT éditions / KOSMOS / ,TEUBER Klaus() / VOHWINKEL Franz() /,2002.0,,"Boite : Kosmos 1996, Tilsit 2002",Allemagne,2,10,"Historique, Moyen-Âge, Gamme Catane",15.0,G Colons De K,Gestion de main,Lancers de dés,Combinaison / collection,,,
10305.0,Star Trek Catane,KOSMOS(Editeur - Distributeur) / FILOSOFIA Editions(Editeur - Distributeur) / CBS STUDIOS Inc.(Licence) / ,TEUBER Klaus(Auteur) / VOHWINKEL Franz(Illustration - graphisme) /,2013.0,,,Allemagne,3-4,10,"Historique, Moyen-Âge, Gamme Catane",15.0,Gamme Catane,Lancers de dés,Connexion,Gestion de main,,,
1369.0,Siedler Von Nurnberg (Die),KOSMOS(Editeur - Distributeur) / ,TEUBER Klaus(Auteur) /,1999.0,,Boite,France,3-4,10,"Historique, Moyen-Âge, Gamme Catane",15.0,Gamme Catane,Lancers de dés,Gestion de main,Mémoire,,,
969.0,Sternenfahrer Von Catan,KOSMOS(Editeur - Distributeur) / ,TEUBER Klaus(Auteur) / VOHWINKEL Franz(Illustration - graphisme) /,1999.0,,Boite,France,2-4,10,"Historique, Moyen-Âge, Gamme Catane",15.0,Gamme Catane,Déplacement / exploration,Négoce / marchandage,,,,
628.0,Objectif Catane,TILSIT éditions(Editeur) / KOSMOS(Licence) / ,TEUBER Klaus(Auteur) / VOHWINKEL Franz(Auteur) /,2003.0,,Boite 2003 Tilsit Et 2001 Kosmos,Allemagne,2,12,"Science Fiction, Conquête Spatiale",15.0,G Colons De K,Lancers de dés,Mémoire,Stop ou encore,,,
5156.0,Incredibile Hulk (L'),CLEMENTONI(Editeur) / Ideal Toy Corporation(Licence) / Marvel Comics Group(Licence) / ,Jack KIRBY(Dessinateur) / Stan LEE(Scénariste) /,1979.0,,Boite,France,2-4,,"Bande Dessinee, Droit Derive, Marvel, Super Héros",16.0,Droits Derives 2,,,,,,
9695.0,Tour De Gaule D'Asterix (Le),DARGAUD - Jeux Dargaud(Editeur) / ,UDERZO (dessinateur BD)(Dessinateur) /,1978.0,,Boite,France,2-6,10,"Bande Dessinee, Droit Derive",16.0,Droits Derives 2,Lancers de dés,Parcours,Hasard,,,
10578.0,Mythic Battles,IELLO(Editeur - Distributeur) / ,BENOIT VOGT(Auteur) / LOIC MUZY(Illustration - graphisme) /,2012.0,,,France,2-4,14,"Antiquité, Mythologie",17.0,Antiquite 2,Narration / Scénario,Affrontement,Déplacement / exploration,,,
10247.0,Cyclades,ASMODEE(Distributeur) / MILLENIUM(Distributeur) / MATAGOT (éditions du)(Editeur) / ,CATHALA Bruno(Auteur) / MAUBLANC Ludovic(Auteur) / COIMBRA Miguel(Illustration - graphisme) /,2011.0,,Boite,France,2-5,13,"Antiquité, Mythologie",17.0,Antiquite 2,Majorité / influence,Déplacement / exploration,Mise / enchère,,,
1306.0,Age Of Mythology,EAGLE GAMES(Editeur) / ,"Glenn Drover (Auteur) / Fast Forward Design, Gabriel Hernandez,Jacinto Hernandez, Monte Moore, Paul Niemeyer, James Provenzale (Illustrateurs)",2003.0,,Boite,France,2-4,10,"Antiquité, Mythologie",17.0,Antiquite 2,Narration / Scénario,Affrontement,Lancers de dés,,,
5164.0,Initiation Aux Echecs,MB Jeux / MB France / Hasbro International Inc / ,,1993.0,,Boite,France,1,8,Abstrait Réflexion Initiation Echecs,17.0,Classiques,,,,,,5010994031015
